_firestoreId,_type,id,name,category,stock,room,shelf,manufacturer,modelNumber,partNumber,barcode,productCategory,isDiscontinued,minStock,guideUrl,isFaulty,price,description,brochureUrl,weaveFileUrl,weaveConfigured,updatedAt,weaveTemplateId,imageUrl,warrantyEndDate,purchaseDate
9vRGpEfYlxNe2FrZUfxW,Product,5793,BN360-INT-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-INT-01,5793,5793,,,,,,,,,,,,,,,
9xq4zKlgPdd0RCI5hopM,Product,5833A,,,,,,,,,,Sistem,,,,,,,,,,,,,,
ARsMbLtyqpYtt2BJQRhk,Product,4496,,,,,,,,,,Sistem,,,,,,,,,,,,,,
ATm9J9PkaJPK2BDE1AN9,Product,4486,,,,,,,,,,Sistem,,,,,,,,,,,,,,
Aj8a60kb6wqR0FfNQXo2,Product,5833A,BN360-300-ECU,Stok Malzemesi,,Depo,A1,Brigade Electronics,BN360-300-ECU,5833A,5833A,,,,,,,,,,,,,,,
B6vR1YBzk7nnMMrJ1wJn,Product,5611,VBV-770HM,Stok Malzemesi,,Depo,A1,Brigade Electronics,VBV-770HM,5611,5611,,,,,,,,,,,,,,,
BFrJq5rzp9MPazGEKcgD,Product,S5775,VBV-670M-M,Stok Malzemesi,,Depo,A1,Brigade Electronics,VBV-670M-M,S5775,S5775,,,,,,,,,,,,,,,
BVnVEcqg8AS2A3m7TXOM,Product,4520,BN360-CT-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-CT-01,4520,4520,,,,,,,,,,,,,,,
BZvJFUENdPL2uTkLvRhx,Product,4520,BN360-CT-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-CT-01,4520,4520,,,,,,,,,,,,,,,
Biwg3N8lw12HP1EFwd9l,Product,BS-9001T,,,,,,,,,,Sensor,,,,,,,,,,,,,,
BjM3x1CzEeRUqu66WiOT,Product,4485,BN360-100C,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-100C,4485,4485,,,,,,,,,,,,,,,
Bu4S1V5EquFLGeKV9zaF,Product,7477,DC-204-AI,Stok Malzemesi,1,Depo,A1,Brigade Electronics,DC-204-AI,7477,7477,,,,,,,,,,,,,,,
CjrVlAqpzifC2ze5uWZJ,Product,5798,BN360-VIN-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-VIN-01,5798,5798,,,,,,,,,,,,,,,
DAK1KSrjGQWNmx2ssILe,Product,A3744,,,,,,,,,,Sensor,,,,,,,,,,,,,,
DfbdJe8j8D6QOg4D8y88,Product,AC-014,AC-014,Stok Malzemesi,,Bölge 2,Raf 1,Brigade Electronics,AC-014,,AC-014,Kablo,,,,,,,,,,,,,,
DtyZQpaYPtOK91ESe1s5,Product,4279,AC-044,Stok Malzemesi,4,Depo,A1,Brigade Electronics,AC-044,4279,4279,,true,,,,,,,,,,,,,
EKnc5Y7wHAkPiFIUuSJ0,Product,5800A,BN360-300,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-300,5800A,5800A,,,,,,,,,,,,,,,
EkmqoXVyOLhgQrJq9klU,Product,7491,VBV-AI820,Stok Malzemesi,2,Depo,A1,Brigade Electronics,VBV-AI820,7491,7491,,,,,,,,,,,,,,,
EyiF2S3NFuMzztz3VOLQ,Product,4495,BN360-L115,Stok Malzemesi,6,Depo,A1,Brigade Electronics,BN360-L115,4495,4495,,,,,,,,,,,,,,,
FBYrEwcOfB0Vhienggid,Product,4486,BN360-10H-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-10H-01,4486,4486,,,,,,,,,,,,,,,
FYUd26f6fd89fzeUMyHq,Product,4910A,,,,,,,,,,Diğer,,,,,,,,,,,,,,
FbeGf11yhKYOTeBRCt9O,Product,5522,VBV-H4025,Stok Malzemesi,1,Depo,A1,Brigade Electronics,VBV-H4025,5522,5522,,,,,,,,,,,,,,,
